Authors	Record Count	
Navarria FL	427	
Netrakanti PK	427	
Obertino MM	427	
Odell N	427	
Oh SB	427	
Organtini G	427	
Osherson M	427	
Pacher L	427	
Padeken K	427	
Paganoni M	427	
Panagiotou A	427	
Pandolfi F	427	
Pedro K	427	
Pelliccioni M	427	
Perrotta A	427	
Petrucciani G	427	
Pieri M	427	
Piperov S	427	
Pitzl D	427	
Pompili A	427	
Puljak I	427	
Rane A	427	
Rankin D	427	
Raspereza A	427	
Reid ID	427	
Rodrigo T	427	
Roland G	427	
Romeo F	427	
Rosowsky A	427	
Rovere M	427	
Saka H	427	
Sanders S	427	
Santanastasio F	427	
Sarkar T	427	
Schwick C	427	
Sculac T	427	
Sekmen S	427	
Shchelina K	427	
Shoaib M	427	
Sikler F	427	
Siroli GP	427	
Sobol A	427	
Soha A	427	
Sola V	427	
Sperka D	427	
Spiegel L	427	
Srimanobhas N	427	
Stephans GSF	427	
Stoynev S	427	
Strait J	427	
Strobbe N	427	
Susa T	427	
Tadel M	427	
Tavernier S	427	
Taylor L	427	
Tkaczyk S	427	
Tran NV	427	
Trocsanyi ZL	427	
Uplegger L	427	
Venturi A	427	
Veres GI	427	
Viliani L	427	
Volkov A	427	
Waltenberger W	427	
Weber HA	427	
Whitbeck A	427	
Yetkin EA	427	
Yu SS	427	
Yumiceva F	427	
Zeuner WD	427	
Zhokin A	427	
Zolkapli Z	427	
Zorbakir IS	427	
Zorbilmez C	427	
Abbiendi G	426	
Ahuja S	426	
Arcidiacono R	426	
Arenton MW	426	
Argiro S	426	
Bagliesi G	426	
Behera PK	426	
Behnke O	426	
Berryhill J	426	
Bhowmik S	426	
Buccilli A	426	
Butler JN	426	
Campanini R	426	
Cartiglia N	426	
Cavallari F	426	
Cheung HWK	426	
Ciocci MA	426	
Civinini C	426	
Colling D	426	
Coubez X	426	
Covarelli R	426	
Dobur D	426	
Dozen C	426	
Etesami SM	426	
Gary JW	426	
Gregores EM	426	
Gutsche O	426	
Josa MI	426	
Joshi U	426	
Kara O	426	
Khalil S	426	
Khurana R	426	
Leontsinis S	426	
Ligabue F	426	
Lustermann W	426	
Maity M	426	
Malberti M	426	
Mandal K	426	
Mason D	426	
Mestvirishvili A	426	
Mikulec I	426	
Musienko Y	426	
Newman HB	426	
Palla F	426	
Paoletti S	426	
Pastrone N	426	
Radburn-smith BC	426	
Ragazzi S	426	
Rander J	426	
Redondo I	426	
Roskes J	426	
Rossi A	426	
Rovelli T	426	
Ruiz-jimeno A	426	
Ruspa M	426	
Santocchia A	426	
Si W	426	
Silvestris L	426	
Smith WH	426	
Spanier S	426	
Starodumov A	426	
Swain SK	426	
Tavolaro VR	426	
Toldaiev O	426	
Trocino D	426	
Ujvari B	426	
Valuev V	426	
Van Doninck W	426	
Verwilligen P	426	
Virdee T	426	
Wolf M	426	
Yagil A	426	
Zghiche A	426	
Zhou Y	426	
Azzi P	425	
Bacchetta N	425	
Borras K	425	
Buchmuller O	425	
Cadamuro L	425	
Calligaris L	425	
Dallavalle GM	425	
De Boer W	425	
Erice C	425	
Evdokimov O	425	
Gao X	425	
Ghezzi A	425	
Giffels M	425	
Guthoff M	425	
Hangal DA	425	
Herve A	425	
Hos I	425	
Hussain U	425	
Jeitler M	425	
Kaya O	425	
Kravchenko I	425	
Lampen T	425	
Maselli S	425	
Meng F	425	
Monteil E	425	
Monteno M	425	
Novaes SF	425	
Pant LM	425	
Pigazzini S	425	
Ranjan K	425	
Rolandi G	425	
Selvaggi G	425	
Sonneveld J	425	
Spiridonov A	425	
Stahl A	425	
Tlisov D	425	
Vaandering EW	425	
Van Onsem GP	425	
Vannerom D	425	
Vartak A	425	
Vormwald B	425	
Waqas M	425	
Wertz S	425	
Yusli MN	425	
Bartok M	424	
Beri SB	424	
Boran F	424	
Bourilkov D	424	
Ciulli V	424	
De Cosa A	424	
De La Cruz-burelo E	424	
Del Re D	424	
Delannoy AG	424	
Della Ricca G	424	
Demaria N	424	
Hindrichs O	424	
Iiyama Y	424	
Iorio AOM	424	
Kuo CM	424	
Mariotti C	424	
Milosevic J	424	
Montalvo R	424	
Pantaleo F	424	
Schieck J	424	
Schneider B	424	
Seidel M	424	
Strologas J	424	
Tao Z	424	
Tosi M	424	
Walczak M	424	
Anampa KH	423	
Azzurri P	423	
Brinkerhoff A	423	
Buchanan J	423	
Cifuentes JAB	423	
Ciriolo V	423	
Cuffiani M	423	
Davignon O	423	
De Guio F	423	
De La Cruz B	423	
Fasanella D	423	
Heidegger C	423	
Janot P	423	
Jarry P	423	
Kasieczka G	423	
Lenzi P	423	
Martin MA	423	
Meridiani P	423	
Merlin JA	423	
Misheva M	423	
Moon DH	423	
Norberg S	423	
Ogul H	423	
Pfeiffer A	423	
Ratti SP	423	
Savitskyi M	423	
Sphicas P	423	
Vernieri C	423	
Zanetti M	423	
Auffray E	422	
Botta V	422	
Brainerd C	422	
Brivio F	422	
Caputo C	422	
Dhingra N	422	
Klijnsma T	422	
Luna MB	422	
Mccoll N	422	
Menendez JF	422	
Oh G	422	
Sexton-kennedy E	422	
Sheldon P	422	
Takaki JDT	422	
Thea A	422	
Theofilatos K	422	
Tuominen E	422	
Verzetti M	422	
Wen Y	422	
Wichmann K	422	
Bin Anuar AA	421	
Caballero IG	421	
Cortezon EP	421	
De Palma M	421	
Della Negra M	421	
Di Mattia A	421	
Errico F	421	
Grandi C	421	
Ibarguen HAS	421	
Lopez SG	421	
Margoni M	421	
Negrete MO	421	
Pardos CD	421	
Perloff A	421	
Ramos JPF	421	
Ravera F	421	
Rossin R	421	
Schmitz E	421	
Silva P	421	
Spiga D	421	
Spitzbart D	421	
Strebler T	421	
Van Remortel N	421	
Yu D	421	
Zarucki M	421	
Zhu DH	421	
Barrera CO	420	
Benaglia A	420	
Bornheim A	420	
Breeze S	420	
Ceballos GG	420	
Connor P	420	
Depasse P	420	
Elmer P	420	
Giannini L	420	
Gorski M	420	
Haddad Y	420	
Hernandez AC	420	
Herrera CM	420	
Janssen X	420	
Kaur M	420	
Kole G	420	
Meneguzzo AT	420	
Musich M	420	
Nam K	420	
Pereira AV	420	
Rivero CM	420	
Ronchese P	420	
Schleper P	420	
Schroder M	420	
Seitz C	420	
Sevilla MF	420	
Shtipliyski A	420	
Smirnov I	420	
Stepennov A	420	
Takahashi Y	420	
Tekten S	420	
Abdullah WATW	419	
Bilin B	419	
Capiluppi P	419	
Da Costa EM	419	
De Troconiz JF	419	
Harris P	419	
Leiton AGS	419	
Mudholkar T	419	
Negro G	419	
Pelayo JP	419	
Pooth O	419	
Shah A	419	
Winterbottom D	419	
Wittich P	419	
Avery P	418	
Baillon P	418	
Bloch P	418	
Bortignon P	418	
Busson P	418	
D'enterria D	418	
De Monchenault GH	418	
El Mamouni H	418	
Espinosa TAG	418	
Garcia JMV	418	
Gerosa R	418	
Gras P	418	
Higginbotham S	418	
Kyberd P	418	
Lopez OG	418	
Maestre JA	418	
Maksimovic P	418	
Migliore E	418	
Nessi-tedaldi F	418	
Robmann P	418	
Spagnolo P	418	
Tonon N	418	
Tripathi M	418	
Bargassa P	417	
Brom JM	417	
Cankocak K	417	
Cerati GB	417	
Choi Y	417	
Cruz SS	417	
Dauncey P	417	
De Barbaro P	417	
De Cassagnac RG	417	
Donega M	417	
Gunnellini P	417	
Hart A	417	
Kokkas P	417	
Mandorli G	417	
Micheli F	417	
Peng CC	417	
Spanring M	417	
Verbeke W	417	
Wang R	417	
Adzic P	416	
Agram JL	416	
Everaerts P	416	
Faccioli P	416	
Fano L	416	
Hughes E	416	
Jarrin EC	416	
Lecoq P	416	
